Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,066062,1877,08,17.9,Y
IDCJAC0002,066062,1877,09,18.7,Y
IDCJAC0002,066062,1877,10,21.0,Y
IDCJAC0002,066062,1877,11,24.0,Y
IDCJAC0002,066062,1877,12,26.6,Y
IDCJAC0002,066062,1878,01,25.9,Y
IDCJAC0002,066062,1878,02,24.9,Y
IDCJAC0002,066062,1878,03,25.3,Y
IDCJAC0002,066062,1878,04,22.6,Y
IDCJAC0002,066062,1878,05,18.4,Y
IDCJAC0002,066062,1878,06,14.3,Y
IDCJAC0002,066062,1878,07,15.5,Y
IDCJAC0002,066062,1878,08,18.1,Y
IDCJAC0002,066062,1878,09,19.9,Y
IDCJAC0002,066062,1878,10,22.3,Y
IDCJAC0002,066062,1878,11,24.9,Y
IDCJAC0002,066062,1878,12,25.0,Y
IDCJAC0002,066062,1879,01,25.4,Y
IDCJAC0002,066062,1879,02,24.8,Y
IDCJAC0002,066062,1879,03,22.8,Y
IDCJAC0002,066062,1879,04,20.1,Y
IDCJAC0002,066062,1879,05,16.8,Y
IDCJAC0002,066062,1879,06,14.6,Y
IDCJAC0002,066062,1879,07,14.1,Y
IDCJAC0002,066062,1879,08,16.0,Y
IDCJAC0002,066062,1879,09,18.5,Y
IDCJAC0002,066062,1879,10,22.2,Y
IDCJAC0002,066062,1879,11,22.8,Y
IDCJAC0002,066062,1879,12,23.6,Y
IDCJAC0002,066062,1880,01,25.6,Y
IDCJAC0002,066062,1880,02,24.1,Y
IDCJAC0002,066062,1880,03,24.2,Y
IDCJAC0002,066062,1880,04,21.3,Y
IDCJAC0002,066062,1880,05,18.4,Y
IDCJAC0002,066062,1880,06,15.5,Y
IDCJAC0002,066062,1880,07,14.7,Y
IDCJAC0002,066062,1880,08,18.9,Y
IDCJAC0002,066062,1880,09,18.9,Y
IDCJAC0002,066062,1880,10,20.2,Y
IDCJAC0002,066062,1880,11,23.2,Y
IDCJAC0002,066062,1880,12,25.1,Y
IDCJAC0002,066062,1881,01,24.4,Y
IDCJAC0002,066062,1881,02,24.5,Y
IDCJAC0002,066062,1881,03,24.7,Y
IDCJAC0002,066062,1881,04,21.0,Y
IDCJAC0002,066062,1881,05,19.4,Y
IDCJAC0002,066062,1881,06,14.9,Y
IDCJAC0002,066062,1881,07,14.6,Y
IDCJAC0002,066062,1881,08,17.0,Y
IDCJAC0002,066062,1881,09,18.3,Y
IDCJAC0002,066062,1881,10,19.6,Y
IDCJAC0002,066062,1881,11,22.5,Y
IDCJAC0002,066062,1881,12,24.8,Y
IDCJAC0002,066062,1882,01,25.9,Y
IDCJAC0002,066062,1882,02,25.3,Y
IDCJAC0002,066062,1882,03,24.9,Y
IDCJAC0002,066062,1882,04,21.2,Y
IDCJAC0002,066062,1882,05,18.6,Y
IDCJAC0002,066062,1882,06,15.0,Y
IDCJAC0002,066062,1882,07,15.1,Y
IDCJAC0002,066062,1882,08,17.0,Y
IDCJAC0002,066062,1882,09,21.7,Y
IDCJAC0002,066062,1882,10,21.3,Y
IDCJAC0002,066062,1882,11,22.5,Y
IDCJAC0002,066062,1882,12,25.5,Y
